type,content_json
Comparison,"{""topic"": ""Normalization vs Linked List"", ""concept_a"": ""Normalization"", ""concept_b"": ""Linked List"", ""difference"": ""Normalization is Reducing data redundancy. while Linked List is Chain of nodes with pointers."", ""use_case"": ""Schema design optimization. vs Dynamic memory allocation.""}"
Comparison,"{""topic"": ""Linked List vs SQL Join"", ""concept_a"": ""Linked List"", ""concept_b"": ""SQL Join"", ""difference"": ""Linked List is Chain of nodes with pointers. while SQL Join is Combining rows from multiple tables."", ""use_case"": ""Dynamic memory allocation. vs Relational data retrieval.""}"
Concept + Code,"{""question"": ""How is Merge Sort implemented?"", ""answer"": ""Divide and conquer sorting algorithm."", ""code"": {""c"": ""void merge(int a[], int l, int m, int r) { /* Merging logic */ }\nvoid mergeSort(int a[], int l, int r) {\n    if(l<r) { int m = l+(r-l)/2; mergeSort(a, l, m); mergeSort(a, m+1, r); merge(a, l, m, r); }\n}"", ""cpp"": ""std::stable_sort(v.begin(), v.end());"", ""python"": ""def merge_sort(arr):\n    if len(arr)>1:\n        mid = len(arr)//2\n        L, R = arr[:mid], arr[mid:]\n        merge_sort(L); merge_sort(R)\n        # Merge logic...""}, ""explanation"": ""Merge Sort is a stable, divide-and-conquer sorting algorithm. It recursively splits the array into halves until single elements remain, then merges them back in sorted order. It guarantees O(n log n) time complexity in all cases, making it highly reliable for large datasets. However, it requires O(n) auxiliary space for the merging process. It is preferred for linked list sorting due to its sequential access patterns."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""Quick Sort"", ""summary"": ""Deep dive into the Algo theory of Quick Sort."", ""key_points"": [""General purpose efficient sorting."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Theory,"{""title"": ""UDP"", ""summary"": ""Deep dive into the NW theory of UDP."", ""key_points"": [""Gaming, streaming."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Comparison,"{""topic"": ""UDP vs Binary Tree"", ""concept_a"": ""UDP"", ""concept_b"": ""Binary Tree"", ""difference"": ""UDP is Connectionless fast protocol. while Binary Tree is Hierarchical structure with 2 children."", ""use_case"": ""Gaming, streaming. vs File systems, search trees.""}"
Comparison,"{""topic"": ""Git vs UDP"", ""concept_a"": ""Git"", ""concept_b"": ""UDP"", ""difference"": ""Git is Distributed version control. while UDP is Connectionless fast protocol."", ""use_case"": ""Software collaboration. vs Gaming, streaming.""}"
Concept + Code,"{""question"": ""How is Stack implemented?"", ""answer"": ""LIFO linear data structure."", ""code"": {""c"": ""#include <stdio.h>\n#define MAX 100\nint stack[MAX], top = -1;\nvoid push(int x) { if(top < MAX-1) stack[++top] = x; }\nint pop() { return (top >= 0) ? stack[top--] : -1; }\nint main() { push(10); printf(\""%d\"", pop()); return 0; }"", ""cpp"": ""#include <iostream>\n#include <stack>\nint main() { std::stack<int> s; s.push(10); std::cout << s.top(); s.pop(); return 0; }"", ""python"": ""class Stack:\n    def __init__(self): self.items = []\n    def push(self, x): self.items.append(x)\n    def pop(self): return self.items.pop() if self.items else None\ns = Stack(); s.push(10); print(s.pop())""}, ""explanation"": ""A Stack is a fundamental LIFO (Last-In, First-Out) data structure. It mimics a physical stack of plates where elements are added (Push) and removed (Pop) only from the Top. Internally, it can be implemented using arrays or linked lists. It is crucial for expression parsing, depth-first search, and managing function calls in the OS kernel. Key operations take O(1) time. Overflow occurs when the fixed size is exceeded, while Underflow happens on pop from an empty stack."", ""language"": ""C / C++ / Python""}"
Concept + Code,"{""question"": ""How is Git implemented?"", ""answer"": ""Distributed version control."", ""code"": ""// Implementing Git\nfunction init_git() {}"", ""explanation"": ""This block initializes the Git logic for use in Tools."", ""language"": ""Python""}"
Theory,"{""title"": ""Process"", ""summary"": ""Deep dive into the OS theory of Process."", ""key_points"": [""Multi-tasking environments."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Neural Network implemented?"", ""answer"": ""Nodes mimicking brain neurons."", ""code"": ""// Implementing Neural Network\nfunction init_neural_network() {}"", ""explanation"": ""This block initializes the Neural Network logic for use in Adv."", ""language"": ""Java""}"
Theory,"{""title"": ""Segmentation"", ""summary"": ""Deep dive into the OS theory of Segmentation."", ""key_points"": [""Logical memory grouping."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Binary Tree implemented?"", ""answer"": ""Hierarchical structure with 2 children."", ""code"": ""// Implementing Binary Tree\nfunction init_binary_tree() {}"", ""explanation"": ""This block initializes the Binary Tree logic for use in DS."", ""language"": ""Java""}"
Comparison,"{""topic"": ""Deadlock vs Neural Network"", ""concept_a"": ""Deadlock"", ""concept_b"": ""Neural Network"", ""difference"": ""Deadlock is Mutual blocking of resource waiting. while Neural Network is Nodes mimicking brain neurons."", ""use_case"": ""Operating system resource safety. vs Machine learning, AI vision.""}"
Theory,"{""title"": ""Queue"", ""summary"": ""Deep dive into the DS theory of Queue."", ""key_points"": [""Scheduling, Buffering."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is ACID implemented?"", ""answer"": ""Database transaction properties."", ""code"": ""// Implementing ACID\nfunction init_acid() {}"", ""explanation"": ""This block initializes the ACID logic for use in DBMS."", ""language"": ""C++""}"
Theory,"{""title"": ""Quantum Bit"", ""summary"": ""Deep dive into the Adv theory of Quantum Bit."", ""key_points"": [""Quantum computing parallelism."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Theory,"{""title"": ""Queue"", ""summary"": ""Deep dive into the DS theory of Queue."", ""key_points"": [""Scheduling, Buffering."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""Queue"", ""summary"": ""Deep dive into the DS theory of Queue."", ""key_points"": [""Scheduling, Buffering."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Comparison,"{""topic"": ""Quantum Bit vs Graph"", ""concept_a"": ""Quantum Bit"", ""concept_b"": ""Graph"", ""difference"": ""Quantum Bit is Basic unit of quantum info. while Graph is Nodes and edges representing relations."", ""use_case"": ""Quantum computing parallelism. vs Social networks, maps.""}"
Concept + Code,"{""question"": ""How is Deadlock implemented?"", ""answer"": ""Mutual blocking of resource waiting."", ""code"": ""// Implementing Deadlock\nfunction init_deadlock() {}"", ""explanation"": ""This block initializes the Deadlock logic for use in OS."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Big O implemented?"", ""answer"": ""Worst-case complexity notation."", ""code"": ""// Implementing Big O\nfunction init_big_o() {}"", ""explanation"": ""This block initializes the Big O logic for use in Adv."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Deadlock vs Merge Sort"", ""concept_a"": ""Deadlock"", ""concept_b"": ""Merge Sort"", ""difference"": ""Deadlock is Mutual blocking of resource waiting. while Merge Sort is Divide and conquer sorting algorithm."", ""use_case"": ""Operating system resource safety. vs Stable sorting requirements.""}"
Concept + Code,"{""question"": ""How is Binary Tree implemented?"", ""answer"": ""Hierarchical structure with 2 children."", ""code"": ""// Implementing Binary Tree\nfunction init_binary_tree() {}"", ""explanation"": ""This block initializes the Binary Tree logic for use in DS."", ""language"": ""Python""}"
Comparison,"{""topic"": ""Thread vs Big O"", ""concept_a"": ""Thread"", ""concept_b"": ""Big O"", ""difference"": ""Thread is Lightweight execution unit. while Big O is Worst-case complexity notation."", ""use_case"": ""Parallel processing in applications. vs Algorithm analysis.""}"
Concept + Code,"{""question"": ""How is IP Address implemented?"", ""answer"": ""Numerical label for network device."", ""code"": ""// Implementing IP Address\nfunction init_ip_address() {}"", ""explanation"": ""This block initializes the IP Address logic for use in NW."", ""language"": ""Java""}"
Comparison,"{""topic"": ""Docker vs DNS"", ""concept_a"": ""Docker"", ""concept_b"": ""DNS"", ""difference"": ""Docker is Containerization platform. while DNS is Domain name to IP resolution."", ""use_case"": ""App deployment consistency. vs Human-friendly web navigation.""}"
Theory,"{""title"": ""Git"", ""summary"": ""Deep dive into the Tools theory of Git."", ""key_points"": [""Software collaboration."", ""Part of Tools domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Tools""}"
Comparison,"{""topic"": ""Graph vs Docker"", ""concept_a"": ""Graph"", ""concept_b"": ""Docker"", ""difference"": ""Graph is Nodes and edges representing relations. while Docker is Containerization platform."", ""use_case"": ""Social networks, maps. vs App deployment consistency.""}"
Theory,"{""title"": ""Queue"", ""summary"": ""Deep dive into the DS theory of Queue."", ""key_points"": [""Scheduling, Buffering."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Comparison,"{""topic"": ""UDP vs IP Address"", ""concept_a"": ""UDP"", ""concept_b"": ""IP Address"", ""difference"": ""UDP is Connectionless fast protocol. while IP Address is Numerical label for network device."", ""use_case"": ""Gaming, streaming. vs Routing and identification.""}"
Comparison,"{""topic"": ""Normalization vs Process"", ""concept_a"": ""Normalization"", ""concept_b"": ""Process"", ""difference"": ""Normalization is Reducing data redundancy. while Process is Program in execution."", ""use_case"": ""Schema design optimization. vs Multi-tasking environments.""}"
Comparison,"{""topic"": ""OSI Model vs DP"", ""concept_a"": ""OSI Model"", ""concept_b"": ""DP"", ""difference"": ""OSI Model is Layered network framework. while DP is Solving via subproblem memoization."", ""use_case"": ""Standardizing communication. vs Optimization problems (Knapsack).""}"
Concept + Code,"{""question"": ""How is Segmentation implemented?"", ""answer"": ""Variable size memory partitioning."", ""code"": ""// Implementing Segmentation\nfunction init_segmentation() {}"", ""explanation"": ""This block initializes the Segmentation logic for use in OS."", ""language"": ""Python""}"
Comparison,"{""topic"": ""DNS vs ACID"", ""concept_a"": ""DNS"", ""concept_b"": ""ACID"", ""difference"": ""DNS is Domain name to IP resolution. while ACID is Database transaction properties."", ""use_case"": ""Human-friendly web navigation. vs Ensuring data integrity.""}"
Concept + Code,"{""question"": ""How is Quantum Bit implemented?"", ""answer"": ""Basic unit of quantum info."", ""code"": ""// Implementing Quantum Bit\nfunction init_quantum_bit() {}"", ""explanation"": ""This block initializes the Quantum Bit logic for use in Adv."", ""language"": ""C++""}"
Concept + Code,"{""question"": ""How is Hash Map implemented?"", ""answer"": ""Key-value mapping via hashing."", ""code"": {""c"": ""struct Entry { int key; int value; struct Entry* next; };"", ""cpp"": ""#include <unordered_map>\nstd::unordered_map<int, int> map; map[1] = 10;"", ""python"": ""hash_map = {}\nhash_map['key'] = 'value'""}, ""explanation"": ""A Hash Map (or Hash Table) stores key-value pairs and uses a Hash Function to compute an index in an array. This allows for near constant-time O(1) average lookup, insertion, and deletion. Collisions (when two keys hash to the same index) are handled via Chaining (linked lists at indices) or Open Addressing (finding next available slots). Performance depends heavily on the quality of the hash function and the load factor of the table."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""Queue"", ""summary"": ""Deep dive into the DS theory of Queue."", ""key_points"": [""Scheduling, Buffering."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Queue implemented?"", ""answer"": ""FIFO linear data structure."", ""code"": {""c"": ""#include <stdio.h>\n#define MAX 5\nint q[MAX], f=-1, r=-1;\nvoid enq(int x) { if((r+1)%MAX != f) { if(f==-1)f=0; r=(r+1)%MAX; q[r]=x; } }\nint deq() { if(f==-1) return -1; int x=q[f]; if(f==r) f=r=-1; else f=(f+1)%MAX; return x; }"", ""cpp"": ""#include <iostream>\n#include <queue>\nint main() { std::queue<int> q; q.push(1); q.pop(); return 0; }"", ""python"": ""from collections import deque\nq = deque()\nq.append(1) # Enqueue\nq.popleft() # Dequeue""}, ""explanation"": ""A Queue follows the FIFO (First-In, First-Out) principle, where insertion happens at the Rear and deletion at the Front. It is essential for asynchronous data transfers, task scheduling, and breadth-first search. Common variations include Circular Queues, Priority Queues, and Deques. In a Circular Queue, the last position is connected back to the first to optimize memory utilization. Complexity for enqueue and dequeue is typically O(1)."", ""language"": ""C / C++ / Python""}"
